"year","stateabbr","statedesc","countyname","countyfips","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2021","AZ","Arizona","Cochise","04003","04003001402","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","0.9",,,"0.8","1.0","1251","POINT (-110.3592911 31.50894144)","04003001402","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Coconino","04005","04005000800","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.9","2.3","4122","POINT (-111.6238387 35.19648169)","04005000800","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Coconino","04005","04005942201","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","5.2",,,"4.8","5.7","4073","POINT (-111.3191351 36.55364283)","04005942201","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013010101","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.2",,,"2.8","3.7","5073","POINT (-111.7301992 33.74815628)","04013010101","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013050604","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.9",,,"2.6","3.2","3727","POINT (-112.7721695 33.35469399)","04013050604","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013061023","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.0",,,"1.8","2.2","9200","POINT (-112.418269 33.42831654)","04013061023","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013061401","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.2","4.0","1972","POINT (-112.3496535 33.43270528)","04013061401","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013071511","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.4","3.0","3339","POINT (-112.2099241 33.63118356)","04013071511","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013071913","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.0",,,"2.6","3.3","5071","POINT (-112.245706 33.58922115)","04013071913","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013082017","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.6",,,"1.5","1.8","4275","POINT (-112.2638494 33.47218873)","04013082017","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013082027","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.6",,,"1.4","1.8","3978","POINT (-112.2927373 33.45041679)","04013082027","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013083000","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","36.2",,,"32.3","40.0","6545","POINT (-112.2606353 33.44902582)","04013083000","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Maricopa","04013","04013092500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.5",,,"3.1","3.9","4935","POINT (-112.1773986 33.54578605)","04013092500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013092708","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.0",,,"1.8","2.3","2056","POINT (-112.264243 33.55900064)","04013092708","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013093101","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.8",,,"3.4","4.2","4547","POINT (-112.1573208 33.51921314)","04013093101","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013103210","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.2","3.1","6044","POINT (-111.9874107 33.60536891)","04013103210","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013103303","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.1","4.2","3475","POINT (-112.0047759 33.63355889)","04013103303","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013103702","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.3","3.1","3056","POINT (-112.0555553 33.59418568)","04013103702","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013104100","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.4","3.1","6567","POINT (-112.1251385 33.61804401)","04013104100","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013104212","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.2",,,"2.0","2.5","6174","POINT (-112.1425967 33.60359725)","04013104212","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013104225","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.0",,,"2.7","3.4","3699","POINT (-112.1598448 33.63219048)","04013104225","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013105502","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.9","2.3","1891","POINT (-112.1039248 33.56397601)","04013105502","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013106003","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.2","4.0","3175","POINT (-112.1059318 33.5422509)","04013106003","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013106502","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.4","3.1","3542","POINT (-112.0518738 33.53099313)","04013106502","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013109102","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.8",,,"2.5","3.1","5299","POINT (-112.1256702 33.49859247)","04013109102","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013109601","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.4","3.0","4723","POINT (-112.2335594 33.50179735)","04013109601","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013110502","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.2",,,"2.0","2.5","2319","POINT (-112.0693735 33.48751461)","04013110502","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013113501","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.0",,,"2.7","3.4","4416","POINT (-112.0216029 33.46216199)","04013113501","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013114401","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.1",,,"3.7","4.5","1724","POINT (-112.1127708 33.44400663)","04013114401","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013115900","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.1",,,"2.8","3.4","5332","POINT (-112.0559662 33.39956809)","04013115900","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013116202","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.4","3.0","5033","POINT (-111.9874708 33.38854461)","04013116202","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013116613","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.9",,,"1.7","2.1","6489","POINT (-112.1052212 33.37463881)","04013116613","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013116708","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.0","4.3","5033","POINT (-111.982488 33.34049392)","04013116708","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013216819","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.1",,,"2.6","3.6","6086","POINT (-111.7492765 33.62569107)","04013216819","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013216829","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.8",,,"2.4","3.3","4690","POINT (-111.8391611 33.77045926)","04013216829","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013216842","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.0",,,"1.7","2.3","3556","POINT (-111.9105421 33.67795255)","04013216842","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013218300","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.9",,,"3.4","4.5","3953","POINT (-111.9011092 33.45940128)","04013218300","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013319905","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.1","2.7","4790","POINT (-111.919855 33.35649298)","04013319905","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013420301","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.5",,,"2.1","2.8","2224","POINT (-111.7954179 33.45643619)","04013420301","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013420705","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.3",,,"2.0","2.6","3569","POINT (-111.7534954 33.44458727)","04013420705","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013420901","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.7",,,"2.3","3.0","3158","POINT (-111.8141679 33.43322281)","04013420901","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013421801","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.1","2.6","2733","POINT (-111.7968352 33.39708693)","04013421801","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013421902","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.9",,,"2.6","3.2","5902","POINT (-111.8141186 33.40421319)","04013421902","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422205","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.5",,,"2.2","2.9","1384","POINT (-111.8815396 33.38396918)","04013422205","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422216","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","29.4",,,"26.0","33.0","5129","POINT (-111.8507357 33.37156823)","04013422216","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Maricopa","04013","04013422222","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.2",,,"1.9","2.5","2143","POINT (-111.8627861 33.37074044)","04013422222","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422502","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.9","2.4","6086","POINT (-111.7797515 33.40088936)","04013422502","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422509","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.9","2.4","5113","POINT (-111.7645283 33.35736081)","04013422509","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422628","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.9",,,"4.3","5.5","3616","POINT (-111.6196974 33.41145734)","04013422628","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422635","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.9",,,"4.1","5.8","1111","POINT (-111.6419352 33.38646954)","04013422635","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013422640","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.7",,,"3.2","4.3","4647","POINT (-111.644816 33.37194872)","04013422640","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013523003","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","31.0",,,"27.6","34.7","6568","POINT (-111.850401 33.32785369)","04013523003","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Maricopa","04013","04013523006","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.5",,,"2.2","2.8","5448","POINT (-111.8677235 33.31331971)","04013523006","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013610100","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.1","2.7","1322","POINT (-112.1080203 33.89112861)","04013610100","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013614000","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.8","2.4","4398","POINT (-112.2121605 33.68885576)","04013614000","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013615300","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","6.2",,,"5.3","7.2","2259","POINT (-112.2988428 33.65977924)","04013615300","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013615800","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","28.5",,,"25.0","32.1","4906","POINT (-112.2117193 33.66036644)","04013615800","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Maricopa","04013","04013616500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.0",,,"1.8","2.3","3438","POINT (-112.1067727 33.66161239)","04013616500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013723305","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.2",,,"3.8","4.6","2745","POINT (-113.0255407 32.93286036)","04013723305","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013723308","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.1","2.7","7519","POINT (-112.4330547 33.33056342)","04013723308","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013810200","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.8",,,"1.6","2.0","3412","POINT (-111.9026136 33.32389176)","04013810200","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013811400","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.0",,,"1.8","2.3","5228","POINT (-111.8155867 33.31355958)","04013811400","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013812500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.4",,,"1.2","1.5","2070","POINT (-111.7841975 33.26904426)","04013812500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013813800","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","5.9",,,"4.9","7.2","2962","POINT (-111.8151079 33.21165858)","04013813800","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013814000","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.4",,,"3.8","5.1","1531","POINT (-111.7809144 33.21196699)","04013814000","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013814700","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.7",,,"1.5","1.9","4148","POINT (-111.7297505 33.32860514)","04013814700","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013815500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.4",,,"1.2","1.5","5607","POINT (-111.7383135 33.29958943)","04013815500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Maricopa","04013","04013941200","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.8",,,"3.4","4.3","971","POINT (-111.6646265 33.64169591)","04013941200","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AZ","Arizona","Pima","04019","04019004625","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","28.7",,,"25.0","32.4","1756","POINT (-111.0211538 32.35154716)","04019004625","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Yavapai","04025","04025001900","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","27.4",,,"23.2","32.0","14010","POINT (-112.1530846 34.73717246)","04025001900","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AZ","Arizona","Yavapai","04025","04025002004","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.0",,,"3.6","4.5","8207","POINT (-112.0541562 34.69666809)","04025002004","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AR","Arkansas","Benton","05007","05007020501","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","31.0",,,"26.5","35.8","5073","POINT (-94.18752195 36.38688341)","05007020501","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AR","Arkansas","Benton","05007","05007020902","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","34.4",,,"29.9","39.3","6443","POINT (-94.38766694 36.41083837)","05007020902","HLTHOUT","OBESITY","CrdPrv","Obesity"
